sample_id,status,history,original_query,rewritten_query,groundtruth,Latency,RougeL,Bleu,LLMJ
49,REWRITTEN,"What are the best ways to cook a turkey? | Heat the oven to 450°F to preheat and then drop the temperature to 350°F when putting the turkey into the oven. The turkey is done when it registers a minimum of 165° in the thickest part of the thigh. | Should I brine a turkey before smoking it? | Use a brine before smoking to help keep meat moist while cooking and to add flavor. | How much salt do I use to brine a turkey? | The basic ratio for turkey brine is two cups of kosher salt to two gallons of water. Some recipes include sweeteners or acidic ingredients to balance the saltiness. | What kind of wood should I use to brine a turkey? | nonsense | How long should a turkey be smoked for? | he rule of thumb is to smoke the turkey at 300 degrees, 15 minutes for each pound. We used a 17 pound Honeysuckle White turkey for this recipe, and smoked it at 275-300 degrees for just under 4 hours. | Is smoked turkey healthy? | There's no specific amount that's considered safe, but if you're a strictly-on-Thanksgiving smoked-meat eater, it's not something to stress about.",What can you do with leftovers?,What can you do with leftover smoked turkey?,What can you do with leftovers or a turkey?,75.5177,0.7059,0.4594,0.80
50,REWRITTEN,"What are the best ways to cook a turkey? | Heat the oven to 450°F to preheat and then drop the temperature to 350°F when putting the turkey into the oven. The turkey is done when it registers a minimum of 165° in the thickest part of the thigh. | Should I brine a turkey before smoking it? | Use a brine before smoking to help keep meat moist while cooking and to add flavor. | How much salt do I use to brine a turkey? | The basic ratio for turkey brine is two cups of kosher salt to two gallons of water. Some recipes include sweeteners or acidic ingredients to balance the saltiness. | What kind of wood should I use to brine a turkey? | nonsense | How long should a turkey be smoked for? | he rule of thumb is to smoke the turkey at 300 degrees, 15 minutes for each pound. We used a 17 pound Honeysuckle White turkey for this recipe, and smoked it at 275-300 degrees for just under 4 hours. | Is smoked turkey healthy? | There's no specific amount that's considered safe, but if you're a strictly-on-Thanksgiving smoked-meat eater, it's not something to stress about. | What can you do with leftovers or a turkey? | Turkey Chowder. Turkey and Stuffing Casserole.",How long are leftovers good for in the fridge?,How long are turkey leftovers good for in the fridge?,How long are leftovers a turkey good for in the fridge?,89.8706,0.8571,0.5643,1.00
51,REWRITTEN,"What are the best ways to cook a turkey? | Heat the oven to 450°F to preheat and then drop the temperature to 350°F when putting the turkey into the oven. The turkey is done when it registers a minimum of 165° in the thickest part of the thigh. | Should I brine a turkey before smoking it? | Use a brine before smoking to help keep meat moist while cooking and to add flavor. | How much salt do I use to brine a turkey? | The basic ratio for turkey brine is two cups of kosher salt to two gallons of water. Some recipes include sweeteners or acidic ingredients to balance the saltiness. | What kind of wood should I use to brine a turkey? | nonsense | How long should a turkey be smoked for? | he rule of thumb is to smoke the turkey at 300 degrees, 15 minutes for each pound. We used a 17 pound Honeysuckle White turkey for this recipe, and smoked it at 275-300 degrees for just under 4 hours. | Is smoked turkey healthy? | There's no specific amount that's considered safe, but if you're a strictly-on-Thanksgiving smoked-meat eater, it's not something to stress about. | What can you do with leftovers or a turkey? | Turkey Chowder. Turkey and Stuffing Casserole. | How long are leftovers a turkey good for in the fridge? | Your leftovers are safe in the fridge for three to four days, while frozen food should be consumed within two to four months for best quality, according to the U.S. Department of Agriculture. The biggest mistake turkey-lovers make is keeping leftovers in the fridge for too long.",What's a recipe for smoked turkey soup?,What is a recipe for smoked turkey soup?,What's a recipe for smoked turkey soup?,75.7300,0.8750,0.7260,1.00
52,REWRITTEN,"What are the best ways to cook a turkey? | Heat the oven to 450°F to preheat and then drop the temperature to 350°F when putting the turkey into the oven. The turkey is done when it registers a minimum of 165° in the thickest part of the thigh. | Should I brine a turkey before smoking it? | Use a brine before smoking to help keep meat moist while cooking and to add flavor. | How much salt do I use to brine a turkey? | The basic ratio for turkey brine is two cups of kosher salt to two gallons of water. Some recipes include sweeteners or acidic ingredients to balance the saltiness. | What kind of wood should I use to brine a turkey? | nonsense | How long should a turkey be smoked for? | he rule of thumb is to smoke the turkey at 300 degrees, 15 minutes for each pound. We used a 17 pound Honeysuckle White turkey for this recipe, and smoked it at 275-300 degrees for just under 4 hours. | Is smoked turkey healthy? | There's no specific amount that's considered safe, but if you're a strictly-on-Thanksgiving smoked-meat eater, it's not something to stress about. | What can you do with leftovers or a turkey? | Turkey Chowder. Turkey and Stuffing Casserole. | How long are leftovers a turkey good for in the fridge? | Your leftovers are safe in the fridge for three to four days, while frozen food should be consumed within two to four months for best quality, according to the U.S. Department of Agriculture. The biggest mistake turkey-lovers make is keeping leftovers in the fridge for too long. | What's a recipe for smoked turkey soup? | Place the turkey legs, water, bouillon cubes, onion, celery, carrots, garlic, bay leaves, garlic powder, onion powder, black pepper, thyme, marjoram, and curry powder in a soup pot; bring to a boil. Reduce heat and simmer for 30 minutes.",How about one for chili?,How about a recipe for smoked turkey chili?,How about a recipe for chili?,75.9028,0.8571,0.5133,0.50
53,REWRITTEN,,What are the most important US supreme court cases?,What are the most important U.S. Supreme Court cases?,What are the most important US supreme court cases?,97.7087,0.8421,0.3326,1.00
54,KEPT_ORIGINAL,"What are the most important US supreme court cases? | Marbury v. Madison, 1803 (4-0 decision) ...McCulloch v. Maryland, 1819 (7-0 decision) ...Dred Scott v. Sandford, 1857 (7-2 decision) ...Plessy v. Ferguson, 1896 (7-1 decision) ...Korematsu v. United States,",What did Plessy v. Ferguson establish?,What did Plessy v. Ferguson establish?,What did Plessy v. Ferguson establish?,83.0546,1.0000,1.0000,1.00
55,REWRITTEN,"What are the most important US supreme court cases? | Marbury v. Madison, 1803 (4-0 decision) ...McCulloch v. Maryland, 1819 (7-0 decision) ...Dred Scott v. Sandford, 1857 (7-2 decision) ...Plessy v. Ferguson, 1896 (7-1 decision) ...Korematsu v. United States, | What did Plessy v. Ferguson establish? | Plessy v. Ferguson was a landmark 1896 U.S. Supreme Court decision that upheld the constitutionality of racial segregation under the “separate but equal” doctrine. The case stemmed from an 1892 incident in which African-American train passenger Homer Plessy refused to sit in a car for blacks.",How about Marbury vs Madison?,What did Marbury v. Madison establish?,What did the Marbury vs Madison case establish?,75.9922,0.7143,0.0000,1.00
56,REWRITTEN,"What are the most important US supreme court cases? | Marbury v. Madison, 1803 (4-0 decision) ...McCulloch v. Maryland, 1819 (7-0 decision) ...Dred Scott v. Sandford, 1857 (7-2 decision) ...Plessy v. Ferguson, 1896 (7-1 decision) ...Korematsu v. United States, | What did Plessy v. Ferguson establish? | Plessy v. Ferguson was a landmark 1896 U.S. Supreme Court decision that upheld the constitutionality of racial segregation under the “separate but equal” doctrine. The case stemmed from an 1892 incident in which African-American train passenger Homer Plessy refused to sit in a car for blacks. | What did the Marbury vs Madison case establish? | The U.S. Supreme Court case Marbury v. Madison (1803) established the principle of judicial review—the power of the federal courts to declare legislative and executive acts unconstitutional. The unanimous opinion was written by Chief Justice John Marshall.",Was it unanimous?,Was the Marbury v. Madison decision unanimous?,Was the Marbury vs Madison case unanimous?,83.3405,0.7143,0.0000,1.00
57,REWRITTEN,"What are the most important US supreme court cases? | Marbury v. Madison, 1803 (4-0 decision) ...McCulloch v. Maryland, 1819 (7-0 decision) ...Dred Scott v. Sandford, 1857 (7-2 decision) ...Plessy v. Ferguson, 1896 (7-1 decision) ...Korematsu v. United States, | What did Plessy v. Ferguson establish? | Plessy v. Ferguson was a landmark 1896 U.S. Supreme Court decision that upheld the constitutionality of racial segregation under the “separate but equal” doctrine. The case stemmed from an 1892 incident in which African-American train passenger Homer Plessy refused to sit in a car for blacks. | What did the Marbury vs Madison case establish? | The U.S. Supreme Court case Marbury v. Madison (1803) established the principle of judicial review—the power of the federal courts to declare legislative and executive acts unconstitutional. The unanimous opinion was written by Chief Justice John Marshall. | Was the Marbury vs Madison case unanimous? | In a unanimous decision, written by Justice Marshall, the Court stated that Marbury, indeed, had a right to his commission.",What was the implication of Roe vs Wade?,What was the implication of Roe v. Wade?,What was the implication of Roe vs Wade?,83.2330,0.8750,0.5814,1.00
58,REWRITTEN,"What are the most important US supreme court cases? | Marbury v. Madison, 1803 (4-0 decision) ...McCulloch v. Maryland, 1819 (7-0 decision) ...Dred Scott v. Sandford, 1857 (7-2 decision) ...Plessy v. Ferguson, 1896 (7-1 decision) ...Korematsu v. United States, | What did Plessy v. Ferguson establish? | Plessy v. Ferguson was a landmark 1896 U.S. Supreme Court decision that upheld the constitutionality of racial segregation under the “separate but equal” doctrine. The case stemmed from an 1892 incident in which African-American train passenger Homer Plessy refused to sit in a car for blacks. | What did the Marbury vs Madison case establish? | The U.S. Supreme Court case Marbury v. Madison (1803) established the principle of judicial review—the power of the federal courts to declare legislative and executive acts unconstitutional. The unanimous opinion was written by Chief Justice John Marshall. | Was the Marbury vs Madison case unanimous? | In a unanimous decision, written by Justice Marshall, the Court stated that Marbury, indeed, had a right to his commission. | What was the implication of Roe vs Wade? | Roe rendered these laws unconstitutional, making abortion services vastly safer and more accessible to women throughout the country. The decision also set a legal precedent that affected more than 30 subsequent Supreme Court cases involving restrictions on access to abortion.",What were the main arguments?,What were the main arguments in the Roe v. Wade case?,What were the main arguments of the Roe vs. Wade?,103.4208,0.7619,0.3806,1.00
59,REWRITTEN,"What are the most important US supreme court cases? | Marbury v. Madison, 1803 (4-0 decision) ...McCulloch v. Maryland, 1819 (7-0 decision) ...Dred Scott v. Sandford, 1857 (7-2 decision) ...Plessy v. Ferguson, 1896 (7-1 decision) ...Korematsu v. United States, | What did Plessy v. Ferguson establish? | Plessy v. Ferguson was a landmark 1896 U.S. Supreme Court decision that upheld the constitutionality of racial segregation under the “separate but equal” doctrine. The case stemmed from an 1892 incident in which African-American train passenger Homer Plessy refused to sit in a car for blacks. | What did the Marbury vs Madison case establish? | The U.S. Supreme Court case Marbury v. Madison (1803) established the principle of judicial review—the power of the federal courts to declare legislative and executive acts unconstitutional. The unanimous opinion was written by Chief Justice John Marshall. | Was the Marbury vs Madison case unanimous? | In a unanimous decision, written by Justice Marshall, the Court stated that Marbury, indeed, had a right to his commission. | What was the implication of Roe vs Wade? | Roe rendered these laws unconstitutional, making abortion services vastly safer and more accessible to women throughout the country. The decision also set a legal precedent that affected more than 30 subsequent Supreme Court cases involving restrictions on access to abortion. | What were the main arguments of the Roe vs. Wade? | The Court ruled, in a 7-2 decision, that a woman's right to choose an abortion was protected by the privacy rights guaranteed by the Fourteenth Amendment to the U.S. Constitution.",What was the point of Brown v Board of Ed?,What was the significance of Brown v. Board of Education?,What was the point of Brown v Board of Ed?,96.5361,0.8000,0.0000,1.00
60,REWRITTEN,"What are the most important US supreme court cases? | Marbury v. Madison, 1803 (4-0 decision) ...McCulloch v. Maryland, 1819 (7-0 decision) ...Dred Scott v. Sandford, 1857 (7-2 decision) ...Plessy v. Ferguson, 1896 (7-1 decision) ...Korematsu v. United States, | What did Plessy v. Ferguson establish? | Plessy v. Ferguson was a landmark 1896 U.S. Supreme Court decision that upheld the constitutionality of racial segregation under the “separate but equal” doctrine. The case stemmed from an 1892 incident in which African-American train passenger Homer Plessy refused to sit in a car for blacks. | What did the Marbury vs Madison case establish? | The U.S. Supreme Court case Marbury v. Madison (1803) established the principle of judicial review—the power of the federal courts to declare legislative and executive acts unconstitutional. The unanimous opinion was written by Chief Justice John Marshall. | Was the Marbury vs Madison case unanimous? | In a unanimous decision, written by Justice Marshall, the Court stated that Marbury, indeed, had a right to his commission. | What was the implication of Roe vs Wade? | Roe rendered these laws unconstitutional, making abortion services vastly safer and more accessible to women throughout the country. The decision also set a legal precedent that affected more than 30 subsequent Supreme Court cases involving restrictions on access to abortion. | What were the main arguments of the Roe vs. Wade? | The Court ruled, in a 7-2 decision, that a woman's right to choose an abortion was protected by the privacy rights guaranteed by the Fourteenth Amendment to the U.S. Constitution. | What was the point of Brown v Board of Ed? | Brown v. Board of Education of Topeka, 347 U.S. 483 (1954), was a landmark decision of the U.S. Supreme Court in which the Court ruled that American state laws establishing racial segregation in public schools are unconstitutional, even if the segregated schools are otherwise equal in quality.",What were the main arguments?,What were the main arguments in Brown v. Board of Education?,What were the main arguments of Brown v Board of Ed?,103.8831,0.8182,0.3806,1.00
